from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA76:1058,StopPoint:DUA76:1056,2,252
StopPoint:DUA76:1058,StopPoint:DUA76:1051,2,588
StopPoint:DUA76:1058,StopPoint:DUA76:1057,2,588
StopPoint:DUA76:1056,StopPoint:DUA76:1058,2,252
StopPoint:DUA76:1056,StopPoint:DUA76:1051,2,588
StopPoint:DUA76:1056,StopPoint:DUA76:1057,2,588
StopPoint:DUA8732832,StopPoint:DUA76:334,2,252
StopPoint:DUA76:334,StopPoint:DUA8732832,2,0
StopPoint:DUA8754700,StopPoint:DUA8754702,2,252
StopPoint:DUA8754700,StopPoint:DUA76:756,2,336
StopPoint:DUA8754702,StopPoint:DUA8754700,2,252
StopPoint:DUA8754702,StopPoint:DUA76:756,2,336
StopPoint:DUA76:756,StopPoint:DUA8754700,2,336
StopPoint:DUA76:756,StopPoint:DUA8754702,2,336
StopPoint:DUA8711300,StopPoint:DUA8727100,2,504
StopPoint:DUA8711300,StopPoint:DUA8727102,2,504
StopPoint:DUA8711300,StopPoint:DUA8727103,2,504
StopPoint:DUA8727100,StopPoint:DUA8711300,2,672
StopPoint:DUA8727100,StopPoint:DUA8727102,2,252
StopPoint:DUA8727100,StopPoint:DUA8727103,2,252
StopPoint:DUA8727100,StopPoint:DUA8728187,2,383
StopPoint:DUA8727102,StopPoint:DUA8711300,2,672
StopPoint:DUA8727102,StopPoint:DUA8727100,2,252
StopPoint:DUA8727102,StopPoint:DUA8727103,2,252
StopPoint:DUA8727102,StopPoint:DUA8728187,2,351
StopPoint:DUA8727103,StopPoint:DUA8711300,2,672
StopPoint:DUA8727103,StopPoint:DUA8727100,2,252
StopPoint:DUA8727103,StopPoint:DUA8727102,2,252
StopPoint:DUA8727103,StopPoint:DUA8728187,2,383
StopPoint:DUA8728189,StopPoint:DUA8738400,2,485
StopPoint:DUA76:1059,StopPoint:DUA76:1055,2,252
StopPoint:DUA76:1059,StopPoint:DUA76:1060,2,588
StopPoint:DUA76:1059,StopPoint:DUA76:1054,2,588
StopPoint:DUA76:1055,StopPoint:DUA76:1059,2,252
StopPoint:DUA76:1055,StopPoint:DUA76:1060,2,588
StopPoint:DUA76:1055,StopPoint:DUA76:1054,2,588
StopPoint:DUA8728187,StopPoint:DUA8727100,2,252
StopPoint:DUA8728187,StopPoint:DUA8727102,2,252
StopPoint:DUA8728187,StopPoint:DUA8727103,2,252
StopPoint:DUA8768603,StopPoint:DUA8775858,2,252
StopPoint:DUA8768603,StopPoint:DUA8768600,2,252
StopPoint:DUA8775858,StopPoint:DUA8768603,2,252
StopPoint:DUA8775858,StopPoint:DUA8768600,2,252
StopPoint:DUA8768600,StopPoint:DUA8768603,2,252
StopPoint:DUA8768600,StopPoint:DUA8775858,2,252
StopPoint:DUA8738400,StopPoint:DUA8728189,2,311
StopPoint:DUA8738101,StopPoint:DUA76:341,2,336
StopPoint:DUA8738101,StopPoint:DUA76:342,2,336
StopPoint:DUA8738101,StopPoint:DUA76:1051,2,504
StopPoint:DUA8738101,StopPoint:DUA76:1057,2,504
StopPoint:DUA76:341,StopPoint:DUA8738101,2,336
StopPoint:DUA76:341,StopPoint:DUA76:342,2,252
StopPoint:DUA76:341,StopPoint:DUA76:1051,2,672
StopPoint:DUA76:341,StopPoint:DUA76:1057,2,672
StopPoint:DUA76:342,StopPoint:DUA8738101,2,336
StopPoint:DUA76:342,StopPoint:DUA76:341,2,252
StopPoint:DUA76:342,StopPoint:DUA76:1051,2,672
StopPoint:DUA76:342,StopPoint:DUA76:1057,2,672
StopPoint:DUA76:1060,StopPoint:DUA76:1059,2,588
StopPoint:DUA76:1060,StopPoint:DUA76:1055,2,588
StopPoint:DUA76:1060,StopPoint:DUA76:1054,2,252
StopPoint:DUA76:1060,StopPoint:DUA76:355,2,588
StopPoint:DUA76:1060,StopPoint:DUA76:356,2,588
StopPoint:DUA76:1060,StopPoint:DUA8738111,2,588
StopPoint:DUA76:1060,StopPoint:DUA76:1062,2,588
StopPoint:DUA76:1060,StopPoint:DUA76:1053,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:1059,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:1055,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:1060,2,252
StopPoint:DUA76:1054,StopPoint:DUA76:355,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:356,2,588
StopPoint:DUA76:1054,StopPoint:DUA8738111,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:1062,2,588
StopPoint:DUA76:1054,StopPoint:DUA76:1053,2,588
StopPoint:DUA76:1051,StopPoint:DUA76:1058,2,588
StopPoint:DUA76:1051,StopPoint:DUA76:1056,2,588
StopPoint:DUA76:1051,StopPoint:DUA8738101,2,588
StopPoint:DUA76:1051,StopPoint:DUA76:341,2,588
StopPoint:DUA76:1051,StopPoint:DUA76:342,2,588
StopPoint:DUA76:1051,StopPoint:DUA76:1057,2,252
StopPoint:DUA76:1057,StopPoint:DUA76:1058,2,588
StopPoint:DUA76:1057,StopPoint:DUA76:1056,2,588
StopPoint:DUA76:1057,StopPoint:DUA8738101,2,588
StopPoint:DUA76:1057,StopPoint:DUA76:341,2,588
StopPoint:DUA76:1057,StopPoint:DUA76:342,2,588
StopPoint:DUA76:1057,StopPoint:DUA76:1051,2,252
StopPoint:DUA76:355,StopPoint:DUA76:1060,2,672
StopPoint:DUA76:355,StopPoint:DUA76:1054,2,672
StopPoint:DUA76:355,StopPoint:DUA76:356,2,252
StopPoint:DUA76:355,StopPoint:DUA8738111,2,336
StopPoint:DUA76:356,StopPoint:DUA76:1060,2,672
StopPoint:DUA76:356,StopPoint:DUA76:1054,2,672
StopPoint:DUA76:356,StopPoint:DUA76:355,2,252
StopPoint:DUA76:356,StopPoint:DUA8738111,2,336
StopPoint:DUA8738111,StopPoint:DUA76:1060,2,504
StopPoint:DUA8738111,StopPoint:DUA76:1054,2,504
StopPoint:DUA8738111,StopPoint:DUA76:355,2,336
StopPoint:DUA8738111,StopPoint:DUA76:356,2,336
StopPoint:DUA76:1052,StopPoint:DUA76:1061,2,252
StopPoint:DUA76:1061,StopPoint:DUA76:1052,2,252
StopPoint:DUA8778543,StopPoint:DUA8754731,2,252
StopPoint:DUA8754731,StopPoint:DUA8778543,2,252
StopPoint:DUA76:1062,StopPoint:DUA76:1060,2,517
StopPoint:DUA76:1062,StopPoint:DUA76:1054,2,517
StopPoint:DUA76:1062,StopPoint:DUA76:1053,2,252
StopPoint:DUA76:1053,StopPoint:DUA76:1060,2,517
StopPoint:DUA76:1053,StopPoint:DUA76:1054,2,517
StopPoint:DUA76:1053,StopPoint:DUA76:1062,2,252
StopPoint:DUA76:476,StopPoint:DUA76:475,2,252
StopPoint:DUA76:476,StopPoint:DUA8738247,2,336
StopPoint:DUA76:475,StopPoint:DUA76:476,2,252
StopPoint:DUA76:475,StopPoint:DUA8738247,2,336
StopPoint:DUA8738247,StopPoint:DUA76:476,2,336
StopPoint:DUA8738247,StopPoint:DUA76:475,2,336
StopPoint:DUA76:478,StopPoint:DUA76:477,2,252
StopPoint:DUA76:478,StopPoint:DUA8738248,2,336
StopPoint:DUA76:477,StopPoint:DUA76:478,2,252
StopPoint:DUA76:477,StopPoint:DUA8738248,2,336
StopPoint:DUA8738248,StopPoint:DUA76:478,2,336
StopPoint:DUA8738248,StopPoint:DUA76:477,2,336
StopPoint:DUA76:505,StopPoint:DUA8738640,2,336
StopPoint:DUA8738640,StopPoint:DUA76:505,2,336
StopPoint:DUA76:486,StopPoint:DUA76:485,2,252
StopPoint:DUA76:486,StopPoint:DUA8738281,2,336
StopPoint:DUA76:485,StopPoint:DUA76:486,2,252
StopPoint:DUA76:485,StopPoint:DUA8738281,2,336
StopPoint:DUA8738281,StopPoint:DUA76:486,2,336
StopPoint:DUA8738281,StopPoint:DUA76:485,2,336
StopPoint:DUA8741071,StopPoint:DUA8741069,2,527
StopPoint:DUA8741069,StopPoint:DUA8741071,2,439
StopPoint:DUA76:340,StopPoint:DUA76:339,2,252
StopPoint:DUA76:340,StopPoint:DUA8736692,2,336
StopPoint:DUA76:339,StopPoint:DUA76:340,2,252
StopPoint:DUA76:339,StopPoint:DUA8736692,2,336
StopPoint:DUA8736692,StopPoint:DUA76:340,2,336
StopPoint:DUA8736692,StopPoint:DUA76:339,2,336
StopPoint:DUA76:484,StopPoint:DUA76:483,2,252
StopPoint:DUA76:484,StopPoint:DUA8738280,2,336
StopPoint:DUA76:483,StopPoint:DUA76:484,2,252
StopPoint:DUA76:483,StopPoint:DUA8738280,2,336
StopPoint:DUA8738280,StopPoint:DUA76:484,2,336
StopPoint:DUA8738280,StopPoint:DUA76:483,2,336
